"contract_id","diagram_id","ph_cache_key","diagram_sha256","view_id","sample_id","seed","role","finite_h0_intervals","finite_h1_intervals","essential_h0_excluded","outcome_label_state","biological_outcomes_computed"
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:0a945cb301d10f662f4c1cbdaeddd51d470411f000c4f5e8769ec95bbc09089e","mv06d_matched_ph_record_v1:050b2ba3eec1c29ba546524b9356e55da3bda74033792502feb7dbe4b575a157","ac727fda31e55077717e510c67488077a6585905c88333102be3af8cca1c56f8","gene_topology_v1","SRA779509_SRS3805262",20260809,"held_out",499,289,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:0b90fead382638e5a3e1864357b2f63c24f25b74eff449909148c959b349d4ac","mv06d_matched_ph_record_v1:16df45b10e54fabbcad103086ff78bdc2904922fef7bb18341b50ea1cd7e57c0","aa3a8f247aaec3b79d3a85099cb5864117ceb3629ed6c5bf9d710b9795f08c4a","gene_topology_v1","SRA645804_SRS2823410",20260808,"training",499,105,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:35415c3b4808383ed6cbbf5e3a3c705a24f3420d64d0a98d468842112d2c73e4","mv06d_matched_ph_record_v1:8bfd7a1fb89a37293bd07fa54f16aa81da58961694f756bdd2ede06e17a97bc9","4f65b51f5d9682ba41512fa394119a7dab7892badd8b0a501ff03d39d0c39163","gene_topology_v1","SRA645804_SRS2823410",20260809,"training",499,118,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:6894c3e8ec1fb8f5f12e399580c8ee16dd55c0ad952f6432ebfee091407ad739","mv06d_matched_ph_record_v1:b69684f2972f815d2ad4e2e3a55511b4be971535bc119cde8504de6031637e76","6c17a32adb4f640ca402be4ec617b7636eca59a77bb71d843a05b5cacae5568c","gene_topology_v1","SRA713577_SRS3363004",20260805,"held_out",499,1635,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:7f3f392651f6f78928508dca569eed23a150aca8c7bdf7c3d7ba754fee48d2a2","mv06d_matched_ph_record_v1:aded5687f1a69e622b388941826e1643bbb32ee64fb4f7b2aa43eb35b8406766","6733bd91561e4c1ba4c3ef69193e5e0f886c3bad4c7cb08a2dd2134d990223d7","gene_topology_v1","SRA645804_SRS2823406",20260805,"training",499,532,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:93f0bf8b75b22859bbd2622603f5e01bea73986c432dd95e164c78bb6b91ced9","mv06d_matched_ph_record_v1:18d07da650827a9c05d39a0f03efb25d7fb3643c5612804380486779bca13ebe","b30c9ecd6616b26aee3bab219a95f6f1ddac3d39b2ebb6bfd588ab8e1c34536b","gene_topology_v1","SRA784242_SRS3822680",20260807,"held_out",499,1102,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:9c3339fc0d365183b770cbe52f8219b88a49559f2288050f4a7704e0f6fdbe5a","mv06d_matched_ph_record_v1:0efc846858952d4632fc82360d288b5365160021eaa36675f5e9b57f729217b7","528704912124df85e82e9b08af632d750fbea721f48e2c54b4f2117fa039a889","gene_topology_v1","SRA645804_SRS2823410",20260807,"training",499,111,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:9d128228c16907b5c17c786cf2d534498b2e15ae679c63fc4b44c77e5b763765","mv06d_matched_ph_record_v1:2acd8ee8a4c967c7b77173cc645230158471aebdc3a9e5ac0326d87f83143c61","bc623c634d0c40b26af325a94a63cea52f3061f67c20bd10f332a82461198bb2","gene_topology_v1","SRA628554_SRS2664365",20260806,"held_out",499,2540,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:b8e6af78f9c514f00c68c95837404f7f2a5d6a31d82376387f84225491051b79","mv06d_matched_ph_record_v1:22b54530ba1c2b208533c5ae1f33ef26c778414e1cf40dd1cd19c56e8c4c0d8d","663324c1b789fd7dce3af8b9275a01b6407d24a6201b22355a983736f575ec16","gene_topology_v1","SRA826293_SRS4181128",20260808,"held_out",499,476,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:fcc482b51bc14569f7cfb9d4bbed945fa721a4129a99f82466e19c2d02ce4247","mv06d_matched_ph_record_v1:87f3e72d4ea088ad6ddb246df6f5c0c8d58615ad276bf2000aebdd44650c53e7","66e603be8288690c654050460836c95f8273afd49c2c3f64fe581b4617328898","gene_topology_v1","SRA645804_SRS2823410",20260806,"training",499,120,1,"closed",FALSE
