"contract_id","fold_id","held_out_study","seed","training_views","query_views","sct_incomplete_panel_views","sct_missing_feature_instances","sct_maximum_missing_features","sct_full_panel_group","integrated_incomplete_panel_views","integrated_missing_feature_instances","integrated_maximum_missing_features","integrated_full_panel_group","integrated_expression_payload_defined"
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA628554","SRA628554",20260807,88,2,1,2,2,FALSE,1,2,2,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA628554","SRA628554",20260808,88,2,1,2,2,FALSE,1,2,2,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA628554","SRA628554",20260809,88,2,1,1,1,FALSE,1,1,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA645804","SRA645804",20260805,80,10,3,4,2,FALSE,3,4,2,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA645804","SRA645804",20260806,80,10,6,8,2,FALSE,6,8,2,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA645804","SRA645804",20260807,80,10,5,7,2,FALSE,5,7,2,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA645804","SRA645804",20260808,80,10,4,7,3,FALSE,4,7,3,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA645804","SRA645804",20260809,80,10,6,8,2,FALSE,6,8,2,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA667709","SRA667709",20260805,84,6,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA667709","SRA667709",20260806,84,6,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA667709","SRA667709",20260807,84,6,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA667709","SRA667709",20260808,84,6,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA667709","SRA667709",20260809,84,6,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA703206","SRA703206",20260805,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA703206","SRA703206",20260806,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA703206","SRA703206",20260807,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA703206","SRA703206",20260808,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA703206","SRA703206",20260809,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA713577","SRA713577",20260805,89,1,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA713577","SRA713577",20260806,89,1,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA713577","SRA713577",20260807,89,1,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA713577","SRA713577",20260808,89,1,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA713577","SRA713577",20260809,89,1,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA716608","SRA716608",20260805,85,5,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA716608","SRA716608",20260806,85,5,1,1,1,FALSE,1,1,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA716608","SRA716608",20260807,85,5,2,2,1,FALSE,2,2,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA716608","SRA716608",20260808,85,5,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA716608","SRA716608",20260809,85,5,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA728025","SRA728025",20260805,81,9,4,6,3,FALSE,4,6,3,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA728025","SRA728025",20260806,81,9,3,3,1,FALSE,3,3,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA728025","SRA728025",20260807,81,9,2,2,1,FALSE,2,2,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA728025","SRA728025",20260808,81,9,2,4,2,FALSE,2,4,2,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA728025","SRA728025",20260809,81,9,2,5,3,FALSE,2,5,3,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA740174","SRA740174",20260805,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA740174","SRA740174",20260806,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA740174","SRA740174",20260807,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA740174","SRA740174",20260808,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA740174","SRA740174",20260809,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA749327","SRA749327",20260805,86,4,1,1,1,FALSE,1,1,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA749327","SRA749327",20260806,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA749327","SRA749327",20260807,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA749327","SRA749327",20260808,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA749327","SRA749327",20260809,86,4,1,1,1,FALSE,1,1,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA760933","SRA760933",20260805,89,1,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA760933","SRA760933",20260806,89,1,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA760933","SRA760933",20260807,89,1,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA760933","SRA760933",20260808,89,1,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA760933","SRA760933",20260809,89,1,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA779509","SRA779509",20260805,65,25,1,1,1,FALSE,1,1,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA779509","SRA779509",20260806,65,25,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA779509","SRA779509",20260807,65,25,3,3,1,FALSE,3,3,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA779509","SRA779509",20260808,65,25,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA779509","SRA779509",20260809,65,25,1,1,1,FALSE,1,1,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA784242","SRA784242",20260805,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA784242","SRA784242",20260806,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA784242","SRA784242",20260807,86,4,1,1,1,FALSE,1,1,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA784242","SRA784242",20260808,86,4,1,1,1,FALSE,1,1,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA784242","SRA784242",20260809,86,4,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA826293","SRA826293",20260805,82,8,1,2,2,FALSE,1,2,2,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA826293","SRA826293",20260806,82,8,4,6,2,FALSE,4,6,2,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA826293","SRA826293",20260807,82,8,3,8,3,FALSE,3,8,3,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA826293","SRA826293",20260808,82,8,2,8,4,FALSE,2,8,4,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA826293","SRA826293",20260809,82,8,5,11,4,FALSE,5,11,4,FALSE,FALSE
