"stack_order","stack_id","source_kind","source_stage","source_group_order","source_group_id","dataset_scope","panel_id","seed","homology_dimension","units","unordered_pairs","source_file_count","source_bytes","payload_set_sha256","pair_axis_sha256","source_rehashed"
13,"cell:internal124__exact500__20260809__H0","cell_topology_v2","MV14",13,"internal124__exact500__20260809__H0","internal124","exact500",20260809,"H0",124,7626,31,5188797,"9e08b8a82e1e8ed8e6f38defe538260801bbce14778107a9b872b65196a17c7a","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
14,"cell:internal124__exact500__20260809__H1","cell_topology_v2","MV14",14,"internal124__exact500__20260809__H1","internal124","exact500",20260809,"H1",124,7626,31,5185239,"a02286b8e7175702f274e38d874e3aef5621be36113cb62fd545bb01c19b41f6","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
15,"gene:internal124:exact500:20260805:H0","gene_topology_v1","MV8-ZU",2,"mv08zu_group_02","internal124","exact500",20260805,"H0",124,7626,31,7579645,"b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
16,"gene:external8:exact500:20260805:H0","gene_topology_v1","MV8-ZU",24,"mv08zu_group_24","external8","exact500",20260805,"H0",8,28,1,27092,"45ac35e2f3260df3c88b1b094f9a9581c624b8db3f491335aa37529eb769b658","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
17,"gene:internal124:exact500:20260805:H1","gene_topology_v1","MV8-ZU",12,"mv08zu_group_12","internal124","exact500",20260805,"H1",124,7626,31,7644944,"6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
18,"gene:external8:exact500:20260805:H1","gene_topology_v1","MV8-ZU",28,"mv08zu_group_28","external8","exact500",20260805,"H1",8,28,1,27260,"4127206a49aab5a5a7e204d6c6fed9ab9988719af2101302ee4234cbdcdd3260","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
19,"gene:internal124:exact500:20260806:H0","gene_topology_v1","MV8-ZU",4,"mv08zu_group_04","internal124","exact500",20260806,"H0",124,7626,31,7579648,"c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
20,"gene:internal124:exact500:20260806:H1","gene_topology_v1","MV8-ZU",14,"mv08zu_group_14","internal124","exact500",20260806,"H1",124,7626,31,7645260,"467634383e4eb482e1960f24f0d7d8bbd387351166484d21b7d472f25a6ed469","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
21,"gene:internal124:exact500:20260807:H0","gene_topology_v1","MV8-ZU",6,"mv08zu_group_06","internal124","exact500",20260807,"H0",124,7626,31,7579681,"ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
22,"gene:internal124:exact500:20260807:H1","gene_topology_v1","MV8-ZU",16,"mv08zu_group_16","internal124","exact500",20260807,"H1",124,7626,31,7645308,"7d57146b972dcd0725e4b2a55236908beefc3f4659258095d93ca0d8d6b9e3db","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
23,"gene:internal124:exact500:20260808:H0","gene_topology_v1","MV8-ZU",8,"mv08zu_group_08","internal124","exact500",20260808,"H0",124,7626,31,7579574,"9f668f805e9b1f4df2e1dfea3804fb31679ff123f5f18aca345be571dce8b075","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
24,"gene:internal124:exact500:20260808:H1","gene_topology_v1","MV8-ZU",18,"mv08zu_group_18","internal124","exact500",20260808,"H1",124,7626,31,7645342,"fc1651904477bf3864fea8845ce879dd9c8fff424aa6f9208514cd2bf2874c55","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
25,"gene:internal124:exact500:20260809:H0","gene_topology_v1","MV8-ZU",10,"mv08zu_group_10","internal124","exact500",20260809,"H0",124,7626,31,7587335,"1cfdf785c2307f9d6fa15f84917073af8d83082ac6b73b8de055e8afe5a159b4","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
26,"gene:internal124:exact500:20260809:H1","gene_topology_v1","MV8-ZU",20,"mv08zu_group_20","internal124","exact500",20260809,"H1",124,7626,31,7645001,"f0e5f26e8056291af5a07172ead9f6a4fb69cbe0ef8cf4555d925088d24c16f2","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
27,"gene:external8:common475:20260805:H0","gene_topology_v1","MV8-ZU",23,"mv08zu_group_23","external8","common475",20260805,"H0",8,28,1,27178,"189772a8a35d5cb6c48d64dd735621c384350c563bf9c6d9cfb23c9bb596a0cb","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
28,"gene:external8:common475:20260805:H1","gene_topology_v1","MV8-ZU",27,"mv08zu_group_27","external8","common475",20260805,"H1",8,28,1,27333,"2f75388ba6395fbaaba91226612f3a75095faec3b03936b3e1b0e27ebf55585e","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
