"contract_id","comparison_order","dataset_scope","contrast_id","seed","homology_dimension","left_stack","right_stack","unordered_pairs","metrics","interpretation","authorization_state","outcome_label_state","biological_outcomes_computed","axis_policy"
"mv08r_comparison_firewall_v1",18,"internal124","net_migration_effect",20260805,"H1","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",19,"internal124","fit_scope_effect",20260806,"H1","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",20,"internal124","layer_effect",20260806,"H1","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",21,"internal124","net_migration_effect",20260806,"H1","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",22,"internal124","fit_scope_effect",20260807,"H1","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",23,"internal124","layer_effect",20260807,"H1","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",24,"internal124","net_migration_effect",20260807,"H1","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",25,"internal124","fit_scope_effect",20260808,"H1","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",26,"internal124","layer_effect",20260808,"H1","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",27,"internal124","net_migration_effect",20260808,"H1","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",28,"internal124","fit_scope_effect",20260809,"H1","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",29,"internal124","layer_effect",20260809,"H1","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",30,"internal124","net_migration_effect",20260809,"H1","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",31,"external8","fit_scope_effect",20260805,"H0","same_axis_selectedfit_data_common475","allqc_data_common475",28,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_exact_reference_input_and_selected384_digest_required"
"mv08r_comparison_firewall_v1",32,"external8","layer_effect",20260805,"H0","allqc_data_common475","allqc_residual_common475",28,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_exact_reference_input_and_selected384_digest_required"
"mv08r_comparison_firewall_v1",33,"external8","common475_net_migration_effect",20260805,"H0","same_axis_selectedfit_data_common475","allqc_residual_common475",28,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_exact_reference_input_and_selected384_digest_required"
"mv08r_comparison_firewall_v1",34,"external8","residual_panel_effect",20260805,"H0","allqc_residual_common475","allqc_residual_exact500",28,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_exact_reference_input_and_selected384_digest_required"
"mv08r_comparison_firewall_v1",35,"external8","exact500_total_migration_effect",20260805,"H0","same_axis_selectedfit_data_common475","allqc_residual_exact500",28,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_exact_reference_input_and_selected384_digest_required"
"mv08r_comparison_firewall_v1",36,"external8","fit_scope_effect",20260805,"H1","same_axis_selectedfit_data_common475","allqc_data_common475",28,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_exact_reference_input_and_selected384_digest_required"
"mv08r_comparison_firewall_v1",37,"external8","layer_effect",20260805,"H1","allqc_data_common475","allqc_residual_common475",28,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_exact_reference_input_and_selected384_digest_required"
"mv08r_comparison_firewall_v1",38,"external8","common475_net_migration_effect",20260805,"H1","same_axis_selectedfit_data_common475","allqc_residual_common475",28,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_exact_reference_input_and_selected384_digest_required"
"mv08r_comparison_firewall_v1",39,"external8","residual_panel_effect",20260805,"H1","allqc_residual_common475","allqc_residual_exact500",28,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_exact_reference_input_and_selected384_digest_required"
"mv08r_comparison_firewall_v1",40,"external8","exact500_total_migration_effect",20260805,"H1","same_axis_selectedfit_data_common475","allqc_residual_exact500",28,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_exact_reference_input_and_selected384_digest_required"
