"contract_id","evaluation_unit_id","execution_order","endpoint_id","population_id","label_axis","representation_id","algorithm_id","algorithm_role","selected_k","metric_id","seed_mean","seed_median","seed_minimum","seed_maximum","seed_jackknife_se","completed_seeds","expected_seeds","status","p_value_computed","method_selection_executed","claim_scope","external_generalization"
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:f685e2a8ada11597dae1dda46ad27ac555e524bada266f19b8486baf2e5eecbf",11,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0_H1_secondary","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.0302229725461332,0.00591144676887066,0.00265135901233063,0.130098106823649,0.0250034722150144,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:a65328ee5fa80466bd526c19e94b3a3d787a9afa1b57eae8ae5e1ec8a52a17a7",12,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0_H1_secondary","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.045775225202977,0.0202050010188945,0.00992914339619166,0.157947350646934,0.0283095439118313,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:759bef977b727277a00cb5e1105050f3fb61f907d1e6146a3f7e6cd219b42abf",13,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H0","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0475559790339262,0.0491936318741316,0.0436526718205935,0.0497991043287124,0.00127198318278682,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:e9c234e8d6d3c655d75219b2187ecd042cc7244cd32825ef79c05d91e564d7a7",14,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H0","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.109579454928881,0.110054094864928,0.105089088743533,0.112264299924117,0.00119505309149419,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:38a453fd4e61f6873105aba0d3b91865453ed19b78c790db2ed39b32b45e0ecf",15,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H0","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.0457144452218839,0.0457144452218839,0.0457144452218839,0.0457144452218839,0,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:ee2501aed2d2793c5cee500177cbd737712554893130867865792f73bccf6892",16,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H0","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.109262218878589,0.109262218878589,0.109262218878589,0.109262218878589,0,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:c3dedea3d60153b7e74b03cf24bfb88ba51ffc4934f8e345330def6d29c74a28",17,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H1","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0799318147334986,0.0807330002539071,0.0719831054442818,0.0884232153405448,0.00271601329569786,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:e6bbf2d6cc79822e09706112a3d5a3808189d18cb38b0e84cde99b3dc2e60e2c",18,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H1","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.134569553223333,0.134771397164043,0.127645581060455,0.140429166607357,0.00208637067159448,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:7d039922e0a12945e8c4a12e6aa9701a28c45375a94a0e14246f93866488b20b",19,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H1","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.0176244147483714,0.0212190060988286,0.00591144676887066,0.0263976065053595,0.00400655503574417,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:5a0c6b206e64f93c0d209f4157a50a52f22e39380fc8c039cef6b1b6aa816381",20,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H1","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.0411101709651477,0.0491452975581655,0.0202050010188945,0.0559537767260898,0.00765221604602223,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:71b6fc8210a7ebad81fdfcc7d2945e879592b3ace3d986481da5b30a90e82450",21,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H0_H1_secondary","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0475559790339262,0.0491936318741316,0.0436526718205935,0.0497991043287124,0.00127198318278682,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:31cc5cee855be12df1dfcbe625cc687caefc90a0fdfa7ed3a9dfa0a2be86447b",22,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H0_H1_secondary","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.109579454928881,0.110054094864928,0.105089088743533,0.112264299924117,0.00119505309149419,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:c955278f5832b0b3397bf9f35165bc5db3ce65a615aab586f7c8868898b7269f",23,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H0_H1_secondary","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.0457144452218839,0.0457144452218839,0.0457144452218839,0.0457144452218839,0,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:65bc8db66eb5849053b40ac8c45531e17f2cf92d9c2cbf9e0231baf658a5749b",24,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H0_H1_secondary","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.109262218878589,0.109262218878589,0.109262218878589,0.109262218878589,0,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:331335742eb4ac37561e88d48c332efbdb2e2d42bf399cb919abb520f21ec9fb",25,"full124_descriptive__study","full124_descriptive","study","cell_H0","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0867890220008016,0.0877124627432785,0.0737380179692951,0.0956316253930765,0.00414463658581404,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:6931a046bd4edefc02f01f8896f80d394c9fb3e7ef63b12c8321a3266245f7e5",26,"full124_descriptive__study","full124_descriptive","study","cell_H0","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.148367554170638,0.151634433588867,0.138846805526808,0.153377958410124,0.00269967767323674,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:d631a2f641bfd6ba4a5427f6cd00ab6e695626bd804554706afeb2c357cd60ab",27,"full124_descriptive__study","full124_descriptive","study","cell_H0","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.0236360468660894,0.001484345106159,-0.0000517737206007495,0.0845886335619583,0.0164342140800896,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:04185c7cbd12386b473cde7db600b3cf6185df4d0eb2dd52890c435001a33b5a",28,"full124_descriptive__study","full124_descriptive","study","cell_H0","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.0541084237024595,0.0229863474627313,0.00739449651307382,0.149659201499866,0.0276621290019517,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:ea8f3ee679bafc77e67b3b09b05e3d875689577f1aeb2bd57c9e4da7ef418299",29,"full124_descriptive__study","full124_descriptive","study","cell_H1","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0635463425241368,0.0619885500922616,0.0463669467232308,0.0917367936580086,0.00774975455192878,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:bf43aa8f5f3538ebbdbcb07f0a56d45be505fb0b9a3f831a51a3d207d6f5daca",30,"full124_descriptive__study","full124_descriptive","study","cell_H1","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.14082347275353,0.141886253140997,0.124838897503868,0.15649085299825,0.00505817768535009,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:26cd60f1e25b9f65ffd2a2a173cdbc5d6804b3d2a8924277beac90ed70090216",31,"full124_descriptive__study","full124_descriptive","study","cell_H1","hclust_average_v1","sensitivity",2,"adjusted_rand_index",-0.00756237325574272,-0.00692926859743039,-0.0143462332123572,-0.00384537543007487,0.00180120930379827,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:d9e92d1edd559ecd28d09319f287325ea8d8f503d7bbe5ea42dd2966eccf37c6",32,"full124_descriptive__study","full124_descriptive","study","cell_H1","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.0135954748648535,0.0121726279116209,0.00503814379002476,0.0260809977970638,0.00349018475957853,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:9f7d32d15d309ab94c0eebe48050566fa80d70b3dc1db1a361ccc86317b3aa72",33,"full124_descriptive__study","full124_descriptive","study","cell_H0_H1_secondary","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0867890220008016,0.0877124627432785,0.0737380179692951,0.0956316253930765,0.00414463658581404,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:2af39cab06ef36fac42584a9a75b3a947f2adbbb63cb52eaf23bc64d3db2fe3a",34,"full124_descriptive__study","full124_descriptive","study","cell_H0_H1_secondary","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.148367554170638,0.151634433588867,0.138846805526808,0.153377958410124,0.00269967767323674,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:01d9678b2cedbc034d3a14c841c6cc9bb4a4d2259f2d1652cfb5169ee7a52a0e",35,"full124_descriptive__study","full124_descriptive","study","cell_H0_H1_secondary","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.017280898254617,0.000435060046169028,-0.0000517737206007495,0.0845886335619583,0.0168292715589852,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:30b33eb5176672c7de5425e4e1045ced3ec7f4a44bde9ed862342ce71cbd60a0",36,"full124_descriptive__study","full124_descriptive","study","cell_H0_H1_secondary","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.0404963484595809,0.0150472003091599,0.00739449651307382,0.149659201499866,0.0274428979564508,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:f0112fc7c4c8ca9fe4977019f4d0fa69e0c8403cc23e2db92894c0b2c143b13e",37,"full124_descriptive__study","full124_descriptive","study","gene_H0","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0630932724248119,0.0635072394342304,0.0584439760295045,0.0667723961069696,0.0013331939176669,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:a4b6bcaa7d409f371181221771289224c08cb1b6dddcdc79b4b93bf419743665",38,"full124_descriptive__study","full124_descriptive","study","gene_H0","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.140310677610376,0.14051783728536,0.136751554048893,0.144470726626442,0.00133280110779082,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:f2d1bec5223b4e3ae10bb581b4326a8345523ada3033ec9e5917b6bee76c4080",39,"full124_descriptive__study","full124_descriptive","study","gene_H0","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.0602195175557168,0.0602195175557168,0.0602195175557168,0.0602195175557168,0,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:2f2a301765e31e94e0832f7e7625ca7d4de4b83837354c491541062d19ffa5e3",40,"full124_descriptive__study","full124_descriptive","study","gene_H0","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.140413256058742,0.140413256058742,0.140413256058742,0.140413256058742,0,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:ab0925b5ecd6a5b8767ac904235f699da394bf16b7e545c2dc07061120367c4a",41,"full124_descriptive__study","full124_descriptive","study","gene_H1","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0551633525873119,0.0546806108372213,0.0519991419372144,0.0610116255510736,0.00156372699452664,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:1e79c33a3101395de69019d9a9e6dba91c033bfe760088c2d19d62f5e540ae04",42,"full124_descriptive__study","full124_descriptive","study","gene_H1","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.142174624075173,0.141413243678902,0.140524491933425,0.145935871623723,0.000983898365419984,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:70f85c44af2851f8b2bdd59cc854703e408f6fb104d26a47673270f6bf97c709",43,"full124_descriptive__study","full124_descriptive","study","gene_H1","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.0134734469947065,0.0161014179160966,0.00635753043546739,0.0195962156513239,0.00262652288669401,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:c41eb84adba1b8c23123cd7622606e49d5b482385ac438890e098c8b1bf423fa",44,"full124_descriptive__study","full124_descriptive","study","gene_H1","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.0479133340599575,0.0555523340612731,0.0318865431830479,0.0606227891305253,0.00588599697694909,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:bfa01664685ee7406dba002572f1fe49ce920cc237fc32cebf163a109165e842",45,"full124_descriptive__study","full124_descriptive","study","gene_H0_H1_secondary","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0630932724248119,0.0635072394342304,0.0584439760295045,0.0667723961069696,0.0013331939176669,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:b0656dd6567b1a7d36a30b98ab1c2a3bfe07e9b2b7f1e0a391f427795e2b9d83",46,"full124_descriptive__study","full124_descriptive","study","gene_H0_H1_secondary","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.140310677610376,0.14051783728536,0.136751554048893,0.144470726626442,0.00133280110779082,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:4e8ca59101b05e43eee4e0da3ac460049f42484101038077087fc863dad241da",47,"full124_descriptive__study","full124_descriptive","study","gene_H0_H1_secondary","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.0602195175557168,0.0602195175557168,0.0602195175557168,0.0602195175557168,0,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:b536ec937fd3f6ef8ab2116db8bc3359b2b5ca6f2077e904a43c13c44295482a",48,"full124_descriptive__study","full124_descriptive","study","gene_H0_H1_secondary","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.140413256058742,0.140413256058742,0.140413256058742,0.140413256058742,0,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:77322775045edf20596f28b9ba2e12e34d365d0caf853f82b250332a7af7b439",49,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","cell_H0","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0155542607794912,0.00480258532615806,-0.00106631768996811,0.0406342754610264,0.00808267135838407,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:1a7d63f8dd31f9caa9ea52982ee73389bc7d5b03120930b9e9b5aa6c36b8c05a",50,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","cell_H0","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.05310115157837,0.0489975683668956,0.0467765698930387,0.0626848564263114,0.00308228530931236,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:be6d35552a879f2e183f19c05b0e57a0687437e11690dff1bff52bc8ee1fd08b",51,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","cell_H0","hclust_average_v1","sensitivity",2,"adjusted_rand_index",-0.033339140457926,-0.0312894675569338,-0.0610626462841176,-0.0134115674769479,0.00940244623373847,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:35a6950145dc8659e07084009f1e554bf1112f90e79bda44ecc18db020de5240",52,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","cell_H0","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.0116188656454977,0.00627163999374251,0.0020730934337189,0.0283720681401307,0.00524678043790903,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:7b4494c4740d03fee08273805e777e0d7d60efeba978f5d47d78dce2795e1866",53,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","cell_H1","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.043880917076005,0.0540131366389759,0.00182181201361928,0.0799092785720416,0.0137013381328781,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:f9b638ed9f07ea947c9154c36bd4ed045133f775a81081c5be19fa854e5cc106",54,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","cell_H1","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.0640772533877075,0.0679000355213696,0.0478694895722952,0.0782139675542972,0.00531704077455513,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:ecb85951146f1f28588a5b8e17b341a90258a56ae4a0ccd59281345913487d00",55,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","cell_H1","hclust_average_v1","sensitivity",2,"adjusted_rand_index",-0.0291559136214011,-0.0312894675569338,-0.0462904435003752,-0.0134115674769479,0.00539715481893984,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:63f31233b52b6a7d2dcf025af5fbe86c48cbe1d80cbd1139975cf373ab9add58",56,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","cell_H1","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.00629695709359334,0.00627163999374251,0.0020730934337189,0.0127048696523851,0.00178122300356032,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:07126f9e64a285c481c0eaf10992b75843511dac4206cafdf83e4dad71a5f5fb",57,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","cell_H0_H1_secondary","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0155542607794912,0.00480258532615806,-0.00106631768996811,0.0406342754610264,0.00808267135838407,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:2a73eb4ac2938577e69ba6af8c1c55cce36213362e80276ffe523de28858bff4",58,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","cell_H0_H1_secondary","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.05310115157837,0.0489975683668956,0.0467765698930387,0.0626848564263114,0.00308228530931236,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:eb1eee6e7d74cb2ef7be0481d21bc0aec166b2008724841ea3b83005fcbc3280",59,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","cell_H0_H1_secondary","hclust_average_v1","sensitivity",2,"adjusted_rand_index",-0.0258263356042654,-0.0234986220158146,-0.047520453494683,-0.0134115674769479,0.00638024978992037,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:ef4c16eab15a0a7f497b7f9661aa123a72715a65e26db5365ca6d03f41400077",60,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","cell_H0_H1_secondary","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.00859068747913772,0.00416354239437761,0.0020730934337189,0.0283720681401307,0.00500618956881327,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:5b8e0cdc16bcfca01e836a4e09d6976f14b7d07d7b3ef8451a6f57287ebff411",61,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","gene_H0","pam_stability_k_v1","primary",2,"adjusted_rand_index",-0.0557206434005706,-0.0563049776911573,-0.0571328388357064,-0.0534469960010538,0.000630120767007876,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:62899d3a2fba9c0f42d7365a84cb5c741ea016f1e47132ef09322d489b1103dd",62,"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","gene_H0","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.0241747128774106,0.0238477275998717,0.0233205659368589,0.0254753071787115,0.000365924661116797,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
