"contract_id","method_id","query_sample_id","query_tissue","held_out_study","mean_reciprocal_rank","one_nn_balanced_accuracy","seeds"
"mv06h_sample_method_summary_v1","cell_H1","SRA703206_SRS3296611","colon","SRA703206",0.0255763088537479,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA703206_SRS3296612","colon","SRA703206",0.0621547619047619,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA703206_SRS3296613","colon","SRA703206",1,1,5
"mv06h_sample_method_summary_v1","cell_H1","SRA703206_SRS3296614","colon","SRA703206",0.866666666666667,0.8,5
"mv06h_sample_method_summary_v1","cell_H1","SRA713577_SRS3363004","pbmc","SRA713577",0.458333333333333,0.2,5
"mv06h_sample_method_summary_v1","cell_H1","SRA716608_SRS3391629","liver","SRA716608",0.0205100027929734,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA716608_SRS3391630","liver","SRA716608",0.018209635783612,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA716608_SRS3391631","liver","SRA716608",0.0187321905701484,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA716608_SRS3391632","liver","SRA716608",0.0315510999721526,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA716608_SRS3391633","liver","SRA716608",0.0182974596751142,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA728025_SRS3454421","colon","SRA728025",0.0570634920634921,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA728025_SRS3454422","colon","SRA728025",0.0878399378399378,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA728025_SRS3454423","colon","SRA728025",0.278300865800866,0.2,5
"mv06h_sample_method_summary_v1","cell_H1","SRA728025_SRS3454424","colon","SRA728025",0.72,0.6,5
"mv06h_sample_method_summary_v1","cell_H1","SRA728025_SRS3454425","colon","SRA728025",0.176515151515152,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA728025_SRS3454426","colon","SRA728025",0.466666666666667,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA728025_SRS3454427","colon","SRA728025",0.263333333333333,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA728025_SRS3454428","colon","SRA728025",0.146388888888889,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA728025_SRS3454430","colon","SRA728025",0.153571428571429,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA740174_SRS3548780","bone marrow","SRA740174",0.0687312687312687,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA740174_SRS3548781","bone marrow","SRA740174",0.0709313725490196,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA740174_SRS3548782","bone marrow","SRA740174",0.062799043062201,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA740174_SRS3548783","bone marrow","SRA740174",0.0566783067742147,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA749327_SRS3693910","pbmc","SRA749327",0.406666666666667,0.2,5
"mv06h_sample_method_summary_v1","cell_H1","SRA749327_SRS3693911","pbmc","SRA749327",0.616666666666667,0.4,5
"mv06h_sample_method_summary_v1","cell_H1","SRA749327_SRS3693912","pbmc","SRA749327",1,1,5
"mv06h_sample_method_summary_v1","cell_H1","SRA749327_SRS3693913","pbmc","SRA749327",0.9,0.8,5
"mv06h_sample_method_summary_v1","cell_H1","SRA760933_SRS3693061","liver","SRA760933",0.0673459667267717,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805245","bone marrow","SRA779509",0.43,0.2,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805246","bone marrow","SRA779509",0.0540404723196714,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805247","bone marrow","SRA779509",0.039939485739728,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805248","bone marrow","SRA779509",0.0614423536439665,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805249","bone marrow","SRA779509",0.0368400671459142,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805250","bone marrow","SRA779509",0.0610503978779841,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805251","bone marrow","SRA779509",0.168333333333333,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805252","bone marrow","SRA779509",0.0562555260831123,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805253","bone marrow","SRA779509",0.194761904761905,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805254","bone marrow","SRA779509",0.245238095238095,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805255","bone marrow","SRA779509",0.136473429951691,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805256","bone marrow","SRA779509",0.187460317460317,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805257","bone marrow","SRA779509",0.23040404040404,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805258","bone marrow","SRA779509",0.443563218390805,0.4,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805259","bone marrow","SRA779509",0.0778922227198089,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805260","bone marrow","SRA779509",0.0618993528445861,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805261","bone marrow","SRA779509",0.137142857142857,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805262","bone marrow","SRA779509",0.232467532467532,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805263","bone marrow","SRA779509",0.179090909090909,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805264","bone marrow","SRA779509",0.0509945432142229,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805265","bone marrow","SRA779509",0.0455546265328874,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805266","bone marrow","SRA779509",0.223333333333333,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805267","bone marrow","SRA779509",0.0584761904761905,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805268","bone marrow","SRA779509",0.203566433566434,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA779509_SRS3805269","bone marrow","SRA779509",0.224534161490683,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA784242_SRS3822680","testis","SRA784242",1,1,5
"mv06h_sample_method_summary_v1","cell_H1","SRA784242_SRS3822682","testis","SRA784242",0.45,0.2,5
"mv06h_sample_method_summary_v1","cell_H1","SRA784242_SRS3822683","testis","SRA784242",1,1,5
"mv06h_sample_method_summary_v1","cell_H1","SRA784242_SRS3822686","testis","SRA784242",0.525,0.4,5
"mv06h_sample_method_summary_v1","cell_H1","SRA826293_SRS4181123","testis","SRA826293",0.323333333333333,0.2,5
"mv06h_sample_method_summary_v1","cell_H1","SRA826293_SRS4181124","testis","SRA826293",0.8,0.6,5
"mv06h_sample_method_summary_v1","cell_H1","SRA826293_SRS4181125","testis","SRA826293",0.086470473970474,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA826293_SRS4181126","testis","SRA826293",0.461363636363636,0.4,5
"mv06h_sample_method_summary_v1","cell_H1","SRA826293_SRS4181127","testis","SRA826293",0.633333333333333,0.4,5
"mv06h_sample_method_summary_v1","cell_H1","SRA826293_SRS4181128","testis","SRA826293",0.7,0.4,5
"mv06h_sample_method_summary_v1","cell_H1","SRA826293_SRS4181129","testis","SRA826293",0.766666666666667,0.6,5
"mv06h_sample_method_summary_v1","cell_H1","SRA826293_SRS4181130","testis","SRA826293",0.68,0.6,5
"mv06h_sample_method_summary_v1","gene_H0","SRA550660_SRS2089635","pbmc","SRA550660",0.9,0.8,5
"mv06h_sample_method_summary_v1","gene_H0","SRA550660_SRS2089636","pbmc","SRA550660",1,1,5
"mv06h_sample_method_summary_v1","gene_H0","SRA550660_SRS2089637","pbmc","SRA550660",0.473333333333333,0.2,5
"mv06h_sample_method_summary_v1","gene_H0","SRA550660_SRS2089638","pbmc","SRA550660",0.766666666666667,0.6,5
"mv06h_sample_method_summary_v1","gene_H0","SRA550660_SRS2089639","pbmc","SRA550660",0.8,0.6,5
"mv06h_sample_method_summary_v1","gene_H0","SRA621638_SRS2610283","bone marrow","SRA621638",0.666666666666667,0.4,5
"mv06h_sample_method_summary_v1","gene_H0","SRA621638_SRS2610285","bone marrow","SRA621638",0.273333333333333,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA628554_SRS2664364","pbmc","SRA628554",0.18,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA628554_SRS2664365","pbmc","SRA628554",0.18,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA645804_SRS2823404","testis","SRA645804",0.0552460723419803,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA645804_SRS2823405","testis","SRA645804",0.0532840307840308,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA645804_SRS2823406","testis","SRA645804",0.0574260826892406,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA645804_SRS2823407","testis","SRA645804",0.9,0.8,5
"mv06h_sample_method_summary_v1","gene_H0","SRA645804_SRS2823408","testis","SRA645804",1,1,5
"mv06h_sample_method_summary_v1","gene_H0","SRA645804_SRS2823409","testis","SRA645804",0.7,0.6,5
"mv06h_sample_method_summary_v1","gene_H0","SRA645804_SRS2823410","testis","SRA645804",1,1,5
"mv06h_sample_method_summary_v1","gene_H0","SRA645804_SRS2823411","testis","SRA645804",1,1,5
"mv06h_sample_method_summary_v1","gene_H0","SRA645804_SRS2823412","testis","SRA645804",1,1,5
"mv06h_sample_method_summary_v1","gene_H0","SRA645804_SRS3572594","testis","SRA645804",1,1,5
"mv06h_sample_method_summary_v1","gene_H0","SRA667709_SRS3065426","testis","SRA667709",0.9,0.8,5
"mv06h_sample_method_summary_v1","gene_H0","SRA667709_SRS3065427","testis","SRA667709",0.38,0.2,5
"mv06h_sample_method_summary_v1","gene_H0","SRA667709_SRS3065428","testis","SRA667709",0.35,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA667709_SRS3065429","testis","SRA667709",0.9,0.8,5
"mv06h_sample_method_summary_v1","gene_H0","SRA667709_SRS3065430","testis","SRA667709",0.583333333333333,0.4,5
"mv06h_sample_method_summary_v1","gene_H0","SRA667709_SRS3065431","testis","SRA667709",0.483333333333333,0.2,5
"mv06h_sample_method_summary_v1","gene_H0","SRA703206_SRS3296611","colon","SRA703206",0.0173348551180118,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA703206_SRS3296612","colon","SRA703206",0.0163969680944826,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA703206_SRS3296613","colon","SRA703206",0.0167288167530572,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA703206_SRS3296614","colon","SRA703206",0.0167796610169492,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA713577_SRS3363004","pbmc","SRA713577",1,1,5
"mv06h_sample_method_summary_v1","gene_H0","SRA716608_SRS3391629","liver","SRA716608",0.0300241989616878,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA716608_SRS3391630","liver","SRA716608",0.0193823660151135,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA716608_SRS3391631","liver","SRA716608",0.134518814518815,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA716608_SRS3391632","liver","SRA716608",0.074655248133509,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA716608_SRS3391633","liver","SRA716608",0.0173665827338656,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA728025_SRS3454421","colon","SRA728025",0.0299985145573381,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA728025_SRS3454422","colon","SRA728025",0.0256951134999916,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA728025_SRS3454423","colon","SRA728025",0.0266447216447216,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA728025_SRS3454424","colon","SRA728025",0.0262241188556978,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA728025_SRS3454425","colon","SRA728025",0.0317427365323721,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA728025_SRS3454426","colon","SRA728025",0.0282030834662414,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA728025_SRS3454427","colon","SRA728025",0.0325148312940304,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA728025_SRS3454428","colon","SRA728025",0.0323487971384327,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA728025_SRS3454430","colon","SRA728025",0.0291427791427791,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA740174_SRS3548780","bone marrow","SRA740174",0.766666666666667,0.6,5
"mv06h_sample_method_summary_v1","gene_H0","SRA740174_SRS3548781","bone marrow","SRA740174",0.423333333333333,0.2,5
"mv06h_sample_method_summary_v1","gene_H0","SRA740174_SRS3548782","bone marrow","SRA740174",0.5,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA740174_SRS3548783","bone marrow","SRA740174",0.356666666666667,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA749327_SRS3693910","pbmc","SRA749327",1,1,5
"mv06h_sample_method_summary_v1","gene_H0","SRA749327_SRS3693911","pbmc","SRA749327",0.616666666666667,0.4,5
"mv06h_sample_method_summary_v1","gene_H0","SRA749327_SRS3693912","pbmc","SRA749327",0.4,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA749327_SRS3693913","pbmc","SRA749327",1,1,5
"mv06h_sample_method_summary_v1","gene_H0","SRA760933_SRS3693061","liver","SRA760933",0.48,0.2,5
"mv06h_sample_method_summary_v1","gene_H0","SRA779509_SRS3805245","bone marrow","SRA779509",0.157142857142857,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA779509_SRS3805246","bone marrow","SRA779509",0.296666666666667,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA779509_SRS3805247","bone marrow","SRA779509",0.122002801120448,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA779509_SRS3805248","bone marrow","SRA779509",0.0975224775224775,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA779509_SRS3805249","bone marrow","SRA779509",0.0653968253968254,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA779509_SRS3805250","bone marrow","SRA779509",0.173333333333333,0,5
"mv06h_sample_method_summary_v1","gene_H0","SRA779509_SRS3805251","bone marrow","SRA779509",0.0447016751364577,0,5
