"contract_id","job_id","stage","seed","sample_id","view_id","disposition","exit_status","elapsed_seconds","peak_process_tree_rss_bytes","output_file","output_bytes","output_sha256","elapsed_cap_seconds","rss_cap_bytes","outcome_label_state","biological_outcomes_computed"
"mv07h_fallback_partial_state_v1","ph__20260805__SRA550660_SRS2089637__gene_topology_v1","gene_ph",20260805,"SRA550660_SRS2089637","gene_topology_v1","completed",0,13.3674323558807,592384000,"ph/mv07h__20260805__SRA550660_SRS2089637__gene_topology_v1__ph.rds",79313,"4dbe64c62b27c83d9c1c31654b161f697dc87a979e0fc969214ac7b87d95125f",1800,8589934592,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA550660_SRS2089638__cell_topology_v1","cell_ph",20260805,"SRA550660_SRS2089638","cell_topology_v1","completed",0,13.1044516563416,672460800,"ph/mv07h__20260805__SRA550660_SRS2089638__cell_topology_v1__ph.rds",30806,"e2d5c26b26fd1fef4e2649fc7864d3d88eaca2c6d33581c0b799e2365c561414",600,4294967296,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA550660_SRS2089638__gene_topology_v1","gene_ph",20260805,"SRA550660_SRS2089638","gene_topology_v1","completed",0,13.6079950332642,709152768,"ph/mv07h__20260805__SRA550660_SRS2089638__gene_topology_v1__ph.rds",94613,"26368d2b733a68b7419e5c2e56b0bca45dbee47ce4afd907a7ebecf3969dffb3",1800,8589934592,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA550660_SRS2089639__cell_topology_v1","cell_ph",20260805,"SRA550660_SRS2089639","cell_topology_v1","completed",0,12.5858302116394,676503552,"ph/mv07h__20260805__SRA550660_SRS2089639__cell_topology_v1__ph.rds",30071,"6450c3a323cc62ebae26b014adb88d3ea1696e186cf1b98f2335e03cdf072ba8",600,4294967296,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA550660_SRS2089639__gene_topology_v1","gene_ph",20260805,"SRA550660_SRS2089639","gene_topology_v1","completed",0,13.0932319164276,626974720,"ph/mv07h__20260805__SRA550660_SRS2089639__gene_topology_v1__ph.rds",73805,"c1031d78553ecad349e3837283d847db83c2df0d1b4baeb9626c515aeca1b49d",1800,8589934592,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA621638_SRS2610283__cell_topology_v1","cell_ph",20260805,"SRA621638_SRS2610283","cell_topology_v1","completed",0,12.8261525630951,609112064,"ph/mv07h__20260805__SRA621638_SRS2610283__cell_topology_v1__ph.rds",27726,"a4d992c87b5a581c3eb7b879479d73bf7abd4858f846dd9b688fca369eb7d610",600,4294967296,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA621638_SRS2610283__gene_topology_v1","gene_ph",20260805,"SRA621638_SRS2610283","gene_topology_v1","completed",0,13.0672652721405,711602176,"ph/mv07h__20260805__SRA621638_SRS2610283__gene_topology_v1__ph.rds",62969,"ffbdfb99375ad9d7220b7de8fae6a8ce24cd92fb456dbfe93cb9e540f4090b36",1800,8589934592,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA621638_SRS2610285__cell_topology_v1","cell_ph",20260805,"SRA621638_SRS2610285","cell_topology_v1","completed",0,13.1606664657593,577970176,"ph/mv07h__20260805__SRA621638_SRS2610285__cell_topology_v1__ph.rds",32661,"d57808836fbb27a68520184478f8503264b06f5656b67327e8bde6726d45686d",600,4294967296,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA621638_SRS2610285__gene_topology_v1","gene_ph",20260805,"SRA621638_SRS2610285","gene_topology_v1","completed",0,13.3470423221588,577155072,"ph/mv07h__20260805__SRA621638_SRS2610285__gene_topology_v1__ph.rds",100373,"d9b4c6f4965aa38b3c233006d857b1d7e70f36f1126e7d1b8205b548115509f1",1800,8589934592,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA628554_SRS2664364__cell_topology_v1","cell_ph",20260805,"SRA628554_SRS2664364","cell_topology_v1","completed",0,12.5986800193787,649285632,"ph/mv07h__20260805__SRA628554_SRS2664364__cell_topology_v1__ph.rds",35146,"68682d8f080a893dbf54ce6d5ed3a55d0496ed9caee6c34ed80e3ab776c57def",600,4294967296,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA628554_SRS2664364__gene_topology_v1","gene_ph",20260805,"SRA628554_SRS2664364","gene_topology_v1","rss_cap_exceeded",-9,124.595404148102,8678952960,"ph/mv07h__20260805__SRA628554_SRS2664364__gene_topology_v1__ph.rds",,"",1800,8589934592,"closed",FALSE
