"contract_id","group_order","dataset_scope","representation_id","panel_id","seed","view_kind","homology_dimension","units","chunks","pairs","minimum_squared_distance","maximum_squared_distance","minimum_active_levels","maximum_active_levels","aggregate_child_seconds","peak_process_tree_rss_bytes","exact","all_active_levels","grid_used","level_cap_used"
"mv08zu_group_summary_v1",12,"internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H1",124,31,7626,2.18951847213752e-05,0.00631892806831955,16,1947,804.696954727173,176160768,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",13,"internal124","sct_data_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H1",124,31,7626,3.19403831262996e-05,0.00550611710639744,19,1865,800.777590036392,175296512,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",14,"internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H1",124,31,7626,3.38202625592105e-05,0.00681261030653414,18,1917,801.988212585449,183230464,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",15,"internal124","sct_data_all_qc_fit_selected384","exact500",20260807,"gene_topology_v1","H1",124,31,7626,3.53643081694406e-05,0.00491361023247989,15,1884,796.991318941116,176939008,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",16,"internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"gene_topology_v1","H1",124,31,7626,2.2197427634049e-05,0.00656080256802009,19,1929,796.705852508545,172453888,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",17,"internal124","sct_data_all_qc_fit_selected384","exact500",20260808,"gene_topology_v1","H1",124,31,7626,3.49047993180458e-05,0.00486064928978976,16,1814,821.082819461823,179683328,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",18,"internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260808,"gene_topology_v1","H1",124,31,7626,5.17865474071295e-05,0.00640510841499452,20,1840,838.036178350448,182632448,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",19,"internal124","sct_data_all_qc_fit_selected384","exact500",20260809,"gene_topology_v1","H1",124,31,7626,3.2150651581229e-05,0.00518261334922595,14,1879,852.222662448883,176353280,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",20,"internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"gene_topology_v1","H1",124,31,7626,3.51387307102944e-05,0.00734875861755347,18,2038,825.223562955856,178483200,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",21,"external8","sct_data_selected384_fit_same_axis","common475",20260805,"cell_topology_v1","H0",8,1,28,14.9633828161097,636.513915454055,383,383,2.60404133796692,74919936,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",22,"external8","sct_data_all_qc_fit_selected384","common475",20260805,"gene_topology_v1","H0",8,1,28,0.0197072156821379,2.36584356359349,474,474,2.60705375671387,74747904,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",23,"external8","sct_pearson_residual_all_qc_fit_selected384","common475",20260805,"gene_topology_v1","H0",8,1,28,0.0202984866913871,1.16277880170367,474,474,2.62208437919617,75517952,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",24,"external8","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H0",8,1,28,0.0190374094379718,1.1891581653478,499,499,2.68874430656433,76427264,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",25,"external8","sct_data_selected384_fit_same_axis","common475",20260805,"cell_topology_v1","H1",8,1,28,0.404894627807086,2.72249147727626,38,83,2.61702394485474,74833920,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",26,"external8","sct_data_all_qc_fit_selected384","common475",20260805,"gene_topology_v1","H1",8,1,28,8.59912123202432e-05,0.000506268694664656,113,291,3.11819505691528,82141184,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",27,"external8","sct_pearson_residual_all_qc_fit_selected384","common475",20260805,"gene_topology_v1","H1",8,1,28,0.000161823417087566,0.000572921830288903,108,236,2.87674927711487,80723968,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",28,"external8","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H1",8,1,28,0.000172747195065351,0.000475579906430013,136,270,3.12604641914368,82964480,TRUE,TRUE,FALSE,FALSE
