"contract_id","partition_order","stack_id","homology_dimension","method_id","method_role","selected_k","seeds","samples_per_seed","partition_group_sha256","source_file_sha256","refit_authorized","outcome_driven_selection_authorized","association_computed"
"mv10p_partition_registry_v1",20,"allqc_residual_exact500","H1","hclust_single_diagnostic_v1","diagnostic",3,"20260805;20260806;20260807;20260808;20260809",124,"e280ac74ef3f5321af7332c244408a5013a6d7ac90170511acff43fc5166a778","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",21,"existing_selectedfit_data_exact500","H0","pam_dissimilarity_v1","primary",2,"20260805;20260806;20260807;20260808;20260809",124,"dc16f3d5a083249b9751c49a45b3fc993081b7335e9c34f818216beb064569b7","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",22,"existing_selectedfit_data_exact500","H0","hclust_average_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"5b560413807886c6b11cbb58b893c5862cba7bf32a22667514725d01280e7895","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",23,"existing_selectedfit_data_exact500","H0","hclust_complete_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"5583d7bbfcda751d7d69630ab8896eda591439cf3e4d8e6113be13375009f94a","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",24,"existing_selectedfit_data_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"22b9f359eb71c49f89e1a408cb38b08485b5c482d84bd7e874fe3f87b19295c6","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",25,"existing_selectedfit_data_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"20260805;20260806;20260807;20260808;20260809",124,"6bc8772d12da52ca121ba3a5abbd0873b20f71227c372a020302c02c527365dd","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",26,"existing_selectedfit_data_exact500","H1","pam_dissimilarity_v1","primary",3,"20260805;20260806;20260807;20260808;20260809",124,"5752a7b31773ffa28871eb95e639a6b7ffa3c486e03ff9e917918d359c48bee4","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",27,"existing_selectedfit_data_exact500","H1","hclust_average_v1","sensitivity",3,"20260805;20260806;20260807;20260808;20260809",124,"c0f3b26db62eaf555834e5b6b0e40143c626f64da360e92aa6e16ec953f514b3","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",28,"existing_selectedfit_data_exact500","H1","hclust_complete_v1","sensitivity",3,"20260805;20260806;20260807;20260808;20260809",124,"5d88e582f6756d1436e12b05da4249b06f00a0fbe7216268b08cd3660d46e698","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",29,"existing_selectedfit_data_exact500","H1","diana_dissimilarity_v1","sensitivity",3,"20260805;20260806;20260807;20260808;20260809",124,"d7e8a0a74645aa0f8e4d1566eec7109c97a447b0f79cf2aba232fc4c86cbc1ca","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",30,"existing_selectedfit_data_exact500","H1","hclust_single_diagnostic_v1","diagnostic",3,"20260805;20260806;20260807;20260808;20260809",124,"65e3c3af3680fb6436904739a80cdaab9bb1315d220ff52c2a4e413040b11664","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
