"contract_id","view","burden_role","null_family","replicate","seed"
"mv17c_null_seed_v1","cell","median","radial_density_cloud",1,173046
"mv17c_null_seed_v1","cell","median","radial_density_cloud",2,173047
"mv17c_null_seed_v1","cell","median","radial_density_cloud",3,173048
"mv17c_null_seed_v1","cell","median","radial_density_cloud",4,173049
"mv17c_null_seed_v1","cell","median","radial_density_cloud",5,173050
"mv17c_null_seed_v1","cell","median","radial_density_cloud",6,173051
"mv17c_null_seed_v1","cell","median","radial_density_cloud",7,173052
"mv17c_null_seed_v1","cell","median","radial_density_cloud",8,173053
"mv17c_null_seed_v1","cell","median","radial_density_cloud",9,173054
"mv17c_null_seed_v1","cell","minimum","coordinate_permutation",1,173055
"mv17c_null_seed_v1","cell","minimum","coordinate_permutation",2,173056
"mv17c_null_seed_v1","cell","minimum","coordinate_permutation",3,173057
"mv17c_null_seed_v1","cell","minimum","coordinate_permutation",4,173058
"mv17c_null_seed_v1","cell","minimum","coordinate_permutation",5,173059
"mv17c_null_seed_v1","cell","minimum","coordinate_permutation",6,173060
"mv17c_null_seed_v1","cell","minimum","coordinate_permutation",7,173061
"mv17c_null_seed_v1","cell","minimum","coordinate_permutation",8,173062
"mv17c_null_seed_v1","cell","minimum","coordinate_permutation",9,173063
"mv17c_null_seed_v1","cell","minimum","covariance_gaussian",1,173064
"mv17c_null_seed_v1","cell","minimum","covariance_gaussian",2,173065
"mv17c_null_seed_v1","cell","minimum","covariance_gaussian",3,173066
"mv17c_null_seed_v1","cell","minimum","covariance_gaussian",4,173067
"mv17c_null_seed_v1","cell","minimum","covariance_gaussian",5,173068
"mv17c_null_seed_v1","cell","minimum","covariance_gaussian",6,173069
"mv17c_null_seed_v1","cell","minimum","covariance_gaussian",7,173070
"mv17c_null_seed_v1","cell","minimum","covariance_gaussian",8,173071
"mv17c_null_seed_v1","cell","minimum","covariance_gaussian",9,173072
"mv17c_null_seed_v1","cell","minimum","radial_density_cloud",1,173073
"mv17c_null_seed_v1","cell","minimum","radial_density_cloud",2,173074
"mv17c_null_seed_v1","cell","minimum","radial_density_cloud",3,173075
"mv17c_null_seed_v1","cell","minimum","radial_density_cloud",4,173076
"mv17c_null_seed_v1","cell","minimum","radial_density_cloud",5,173077
"mv17c_null_seed_v1","cell","minimum","radial_density_cloud",6,173078
"mv17c_null_seed_v1","cell","minimum","radial_density_cloud",7,173079
"mv17c_null_seed_v1","cell","minimum","radial_density_cloud",8,173080
"mv17c_null_seed_v1","cell","minimum","radial_density_cloud",9,173081
"mv17c_null_seed_v1","gene","maximum","coordinate_permutation",1,173082
"mv17c_null_seed_v1","gene","maximum","coordinate_permutation",2,173083
"mv17c_null_seed_v1","gene","maximum","coordinate_permutation",3,173084
"mv17c_null_seed_v1","gene","maximum","coordinate_permutation",4,173085
"mv17c_null_seed_v1","gene","maximum","coordinate_permutation",5,173086
"mv17c_null_seed_v1","gene","maximum","coordinate_permutation",6,173087
"mv17c_null_seed_v1","gene","maximum","coordinate_permutation",7,173088
"mv17c_null_seed_v1","gene","maximum","coordinate_permutation",8,173089
"mv17c_null_seed_v1","gene","maximum","coordinate_permutation",9,173090
"mv17c_null_seed_v1","gene","maximum","covariance_gaussian",1,173091
"mv17c_null_seed_v1","gene","maximum","covariance_gaussian",2,173092
"mv17c_null_seed_v1","gene","maximum","covariance_gaussian",3,173093
"mv17c_null_seed_v1","gene","maximum","covariance_gaussian",4,173094
"mv17c_null_seed_v1","gene","maximum","covariance_gaussian",5,173095
"mv17c_null_seed_v1","gene","maximum","covariance_gaussian",6,173096
"mv17c_null_seed_v1","gene","maximum","covariance_gaussian",7,173097
"mv17c_null_seed_v1","gene","maximum","covariance_gaussian",8,173098
"mv17c_null_seed_v1","gene","maximum","covariance_gaussian",9,173099
"mv17c_null_seed_v1","gene","maximum","radial_density_cloud",1,173100
"mv17c_null_seed_v1","gene","maximum","radial_density_cloud",2,173101
"mv17c_null_seed_v1","gene","maximum","radial_density_cloud",3,173102
"mv17c_null_seed_v1","gene","maximum","radial_density_cloud",4,173103
"mv17c_null_seed_v1","gene","maximum","radial_density_cloud",5,173104
"mv17c_null_seed_v1","gene","maximum","radial_density_cloud",6,173105
"mv17c_null_seed_v1","gene","maximum","radial_density_cloud",7,173106
"mv17c_null_seed_v1","gene","maximum","radial_density_cloud",8,173107
"mv17c_null_seed_v1","gene","maximum","radial_density_cloud",9,173108
"mv17c_null_seed_v1","gene","maximum","within_row_axis_shuffle",1,173109
"mv17c_null_seed_v1","gene","maximum","within_row_axis_shuffle",2,173110
"mv17c_null_seed_v1","gene","maximum","within_row_axis_shuffle",3,173111
"mv17c_null_seed_v1","gene","maximum","within_row_axis_shuffle",4,173112
"mv17c_null_seed_v1","gene","maximum","within_row_axis_shuffle",5,173113
"mv17c_null_seed_v1","gene","maximum","within_row_axis_shuffle",6,173114
"mv17c_null_seed_v1","gene","maximum","within_row_axis_shuffle",7,173115
"mv17c_null_seed_v1","gene","maximum","within_row_axis_shuffle",8,173116
"mv17c_null_seed_v1","gene","maximum","within_row_axis_shuffle",9,173117
"mv17c_null_seed_v1","gene","median","coordinate_permutation",1,173118
"mv17c_null_seed_v1","gene","median","coordinate_permutation",2,173119
"mv17c_null_seed_v1","gene","median","coordinate_permutation",3,173120
"mv17c_null_seed_v1","gene","median","coordinate_permutation",4,173121
"mv17c_null_seed_v1","gene","median","coordinate_permutation",5,173122
"mv17c_null_seed_v1","gene","median","coordinate_permutation",6,173123
"mv17c_null_seed_v1","gene","median","coordinate_permutation",7,173124
"mv17c_null_seed_v1","gene","median","coordinate_permutation",8,173125
"mv17c_null_seed_v1","gene","median","coordinate_permutation",9,173126
"mv17c_null_seed_v1","gene","median","covariance_gaussian",1,173127
"mv17c_null_seed_v1","gene","median","covariance_gaussian",2,173128
"mv17c_null_seed_v1","gene","median","covariance_gaussian",3,173129
"mv17c_null_seed_v1","gene","median","covariance_gaussian",4,173130
"mv17c_null_seed_v1","gene","median","covariance_gaussian",5,173131
"mv17c_null_seed_v1","gene","median","covariance_gaussian",6,173132
"mv17c_null_seed_v1","gene","median","covariance_gaussian",7,173133
"mv17c_null_seed_v1","gene","median","covariance_gaussian",8,173134
"mv17c_null_seed_v1","gene","median","covariance_gaussian",9,173135
"mv17c_null_seed_v1","gene","median","radial_density_cloud",1,173136
"mv17c_null_seed_v1","gene","median","radial_density_cloud",2,173137
"mv17c_null_seed_v1","gene","median","radial_density_cloud",3,173138
"mv17c_null_seed_v1","gene","median","radial_density_cloud",4,173139
"mv17c_null_seed_v1","gene","median","radial_density_cloud",5,173140
"mv17c_null_seed_v1","gene","median","radial_density_cloud",6,173141
"mv17c_null_seed_v1","gene","median","radial_density_cloud",7,173142
"mv17c_null_seed_v1","gene","median","radial_density_cloud",8,173143
"mv17c_null_seed_v1","gene","median","radial_density_cloud",9,173144
"mv17c_null_seed_v1","gene","median","within_row_axis_shuffle",1,173145
"mv17c_null_seed_v1","gene","median","within_row_axis_shuffle",2,173146
"mv17c_null_seed_v1","gene","median","within_row_axis_shuffle",3,173147
"mv17c_null_seed_v1","gene","median","within_row_axis_shuffle",4,173148
"mv17c_null_seed_v1","gene","median","within_row_axis_shuffle",5,173149
"mv17c_null_seed_v1","gene","median","within_row_axis_shuffle",6,173150
"mv17c_null_seed_v1","gene","median","within_row_axis_shuffle",7,173151
"mv17c_null_seed_v1","gene","median","within_row_axis_shuffle",8,173152
"mv17c_null_seed_v1","gene","median","within_row_axis_shuffle",9,173153
"mv17c_null_seed_v1","gene","minimum","coordinate_permutation",1,173154
"mv17c_null_seed_v1","gene","minimum","coordinate_permutation",2,173155
"mv17c_null_seed_v1","gene","minimum","coordinate_permutation",3,173156
"mv17c_null_seed_v1","gene","minimum","coordinate_permutation",4,173157
"mv17c_null_seed_v1","gene","minimum","coordinate_permutation",5,173158
"mv17c_null_seed_v1","gene","minimum","coordinate_permutation",6,173159
"mv17c_null_seed_v1","gene","minimum","coordinate_permutation",7,173160
"mv17c_null_seed_v1","gene","minimum","coordinate_permutation",8,173161
"mv17c_null_seed_v1","gene","minimum","coordinate_permutation",9,173162
"mv17c_null_seed_v1","gene","minimum","covariance_gaussian",1,173163
"mv17c_null_seed_v1","gene","minimum","covariance_gaussian",2,173164
"mv17c_null_seed_v1","gene","minimum","covariance_gaussian",3,173165
"mv17c_null_seed_v1","gene","minimum","covariance_gaussian",4,173166
"mv17c_null_seed_v1","gene","minimum","covariance_gaussian",5,173167
"mv17c_null_seed_v1","gene","minimum","covariance_gaussian",6,173168
"mv17c_null_seed_v1","gene","minimum","covariance_gaussian",7,173169
"mv17c_null_seed_v1","gene","minimum","covariance_gaussian",8,173170
"mv17c_null_seed_v1","gene","minimum","covariance_gaussian",9,173171
"mv17c_null_seed_v1","gene","minimum","radial_density_cloud",1,173172
"mv17c_null_seed_v1","gene","minimum","radial_density_cloud",2,173173
"mv17c_null_seed_v1","gene","minimum","radial_density_cloud",3,173174
"mv17c_null_seed_v1","gene","minimum","radial_density_cloud",4,173175
"mv17c_null_seed_v1","gene","minimum","radial_density_cloud",5,173176
"mv17c_null_seed_v1","gene","minimum","radial_density_cloud",6,173177
"mv17c_null_seed_v1","gene","minimum","radial_density_cloud",7,173178
"mv17c_null_seed_v1","gene","minimum","radial_density_cloud",8,173179
"mv17c_null_seed_v1","gene","minimum","radial_density_cloud",9,173180
"mv17c_null_seed_v1","gene","minimum","within_row_axis_shuffle",1,173181
"mv17c_null_seed_v1","gene","minimum","within_row_axis_shuffle",2,173182
"mv17c_null_seed_v1","gene","minimum","within_row_axis_shuffle",3,173183
"mv17c_null_seed_v1","gene","minimum","within_row_axis_shuffle",4,173184
"mv17c_null_seed_v1","gene","minimum","within_row_axis_shuffle",5,173185
"mv17c_null_seed_v1","gene","minimum","within_row_axis_shuffle",6,173186
"mv17c_null_seed_v1","gene","minimum","within_row_axis_shuffle",7,173187
"mv17c_null_seed_v1","gene","minimum","within_row_axis_shuffle",8,173188
"mv17c_null_seed_v1","gene","minimum","within_row_axis_shuffle",9,173189
