"sample_id","study","tissue","approach","approach_public","approach_historical_retained","approach_metadata_conflict","post_qc_cells","corpus_class","candidate_sparse_rdata_found","individual_seurat_rds_found","corrected_artifact_status","outcome_use"
"SRA784242_SRS3822682","SRA784242","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,574,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA784242_SRS3822680","SRA784242","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,537,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805264","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,979,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805249","SRA779509","bone marrow","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,874,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805261","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1137,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805267","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,3427,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805260","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2989,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805256","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4564,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805253","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4111,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805250","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,3018,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805251","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2111,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805257","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,3831,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805254","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4499,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805252","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5071,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805268","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5042,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805258","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5403,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805265","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5646,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805269","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5226,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805246","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5413,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805259","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5868,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805263","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5200,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805266","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5590,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805245","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5651,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805248","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4536,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805262","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,6124,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805255","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,7261,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA779509_SRS3805247","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5416,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA760933_SRS3693061","SRA760933","liver","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,7942,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA749327_SRS3693912","SRA749327","pbmc","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,945,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA749327_SRS3693911","SRA749327","pbmc","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,935,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA749327_SRS3693910","SRA749327","pbmc","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1889,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA749327_SRS3693913","SRA749327","pbmc","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2644,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA742961_SRS3565205","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4751,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565204","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4900,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565202","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5748,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565210","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5566,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565195","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5718,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565211","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5981,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565207","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,6257,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565203","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,6335,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565206","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,6956,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565209","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,7044,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565201","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,7482,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565198","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,7396,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565196","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,7791,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565199","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,8050,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565208","SRA742961","prostate","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,8118,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA742961_SRS3565197","SRA742961","prostate","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,11475,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA740174_SRS3548780","SRA740174","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,614,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA740174_SRS3548782","SRA740174","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,646,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA740174_SRS3548783","SRA740174","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,955,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA740174_SRS3548781","SRA740174","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,952,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA728025_SRS3454421","SRA728025","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,586,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA728025_SRS3454424","SRA728025","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1228,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA728025_SRS3454423","SRA728025","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,421,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA728025_SRS3454422","SRA728025","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,484,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA728025_SRS3454426","SRA728025","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2009,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA728025_SRS3454425","SRA728025","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1710,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA728025_SRS3454427","SRA728025","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1280,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA728025_SRS3454430","SRA728025","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2127,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA728025_SRS3454428","SRA728025","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1473,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA716608_SRS3391631","SRA716608","liver","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,847,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA716608_SRS3391629","SRA716608","liver","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1043,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA716608_SRS3391630","SRA716608","liver","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2284,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA716608_SRS3391632","SRA716608","liver","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,554,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA716608_SRS3391633","SRA716608","liver","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1721,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA713577_SRS3363004","SRA713577","pbmc","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,3326,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA703206_SRS3296613","SRA703206","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2950,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA703206_SRS3296614","SRA703206","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4223,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA703206_SRS3296611","SRA703206","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4175,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA703206_SRS3296612","SRA703206","colon","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5705,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA701877_SRS3279688","SRA701877","pancreatic islets","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,396,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA701877_SRS3279685","SRA701877","pancreatic islets","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,943,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA701877_SRS3279689","SRA701877","pancreatic islets","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1090,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA701877_SRS3279691","SRA701877","pancreatic islets","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1640,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA701877_SRS3279686","SRA701877","pancreatic islets","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1632,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA701877_SRS3279684","SRA701877","pancreatic islets","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1885,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA701877_SRS3279687","SRA701877","pancreatic islets","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2106,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA701877_SRS3279690","SRA701877","pancreatic islets","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2157,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA701877_SRS3279694","SRA701877","pancreatic islets","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2213,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA701877_SRS3279692","SRA701877","pancreatic islets","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2619,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA701877_SRS3279693","SRA701877","pancreatic islets","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,2491,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA701877_SRS3279695","SRA701877","pancreatic islets","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,2992,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA667709_SRS3065426","SRA667709","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1118,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA667709_SRS3065428","SRA667709","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1315,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA667709_SRS3065427","SRA667709","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1945,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA667709_SRS3065429","SRA667709","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1847,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA667709_SRS3065431","SRA667709","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1410,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA667709_SRS3065430","SRA667709","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1486,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA645804_SRS2823411","SRA645804","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1031,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA645804_SRS2823405","SRA645804","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,3680,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA645804_SRS2823406","SRA645804","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4297,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA645804_SRS2823410","SRA645804","testis","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,3561,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA645804_SRS2823407","SRA645804","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2708,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA645804_SRS2823404","SRA645804","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4205,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA645804_SRS2823408","SRA645804","testis","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,3006,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA645804_SRS3572594","SRA645804","testis","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,4035,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA645804_SRS2823409","SRA645804","testis","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,3897,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA645804_SRS2823412","SRA645804","testis","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,3846,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA628554_SRS2664365","SRA628554","pbmc","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,3141,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA628554_SRS2664364","SRA628554","pbmc","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,3410,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA621638_SRS2610285","SRA621638","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,832,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA621638_SRS2610283","SRA621638","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1177,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA550660_SRS2089636","SRA550660","pbmc","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,930,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA550660_SRS2089638","SRA550660","pbmc","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1210,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA550660_SRS2089635","SRA550660","pbmc","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1138,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA550660_SRS2089637","SRA550660","pbmc","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,9071,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA550660_SRS2089639","SRA550660","pbmc","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,8839,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
