"contract_id","oracle_order","oracle_id","pair_identity_sha256","dataset_scope","representation_id","panel_id","view_kind","seed","homology_dimension","group_units","group_unordered_pairs","reference_route","exact_max_intervals","absolute_tolerance","relative_tolerance","subdivisions","first_finite_intervals","second_finite_intervals","outcome_label_state","biological_outcomes_computed"
"mv08x_oracle_selection_public_v1",16,"mv08x_oracle_16_208fb0700748","208fb0700748277b4d0ff16c5396320dbc81a04d485b5b69c8b0148fd1ff0911","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260807,"H1",124,7626,"r_adaptive_certified",500,1e-08,1e-08,200,173,3158,"closed",FALSE
"mv08x_oracle_selection_public_v1",17,"mv08x_oracle_17_3d42c20922c5","3d42c20922c583bad4b789b72c6cd7d9fd5bb78de6137d54a3d100cbc471612f","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260808,"H1",124,7626,"r_adaptive_certified",500,1e-08,1e-08,200,105,3117,"closed",FALSE
"mv08x_oracle_selection_public_v1",18,"mv08x_oracle_18_c40678cf81a5","c40678cf81a549d21f6dc9a567c59b8e9577cd1c024ec8c4c6c6e816e2924767","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260808,"H1",124,7626,"r_adaptive_certified",500,1e-08,1e-08,200,151,3214,"closed",FALSE
"mv08x_oracle_selection_public_v1",19,"mv08x_oracle_19_73942ea8c1e2","73942ea8c1e24a07b560306d546c8f03f5d97c3b1dc63a4c008cc396c3065550","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260809,"H1",124,7626,"r_adaptive_certified",500,1e-08,1e-08,200,99,3172,"closed",FALSE
"mv08x_oracle_selection_public_v1",20,"mv08x_oracle_20_bcc1d3125d30","bcc1d3125d308bd0a549f74d506865e200d51f78eca859a94b2ddc00df06761a","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260809,"H1",124,7626,"r_adaptive_certified",500,1e-08,1e-08,200,146,3246,"closed",FALSE
"mv08x_oracle_selection_public_v1",21,"mv08x_oracle_21_3a378654f9e4","3a378654f9e44005d3b609351647321b04dab1b4cb327728acf6fc16f54c093c","external8","sct_data_selected384_fit_same_axis","common475","cell_topology_v1",20260805,"H0",8,28,"r_exact_breakpoint",500,1e-08,1e-08,200,383,383,"closed",FALSE
"mv08x_oracle_selection_public_v1",22,"mv08x_oracle_22_3f885bcf4504","3f885bcf45040519c50a1dcf70026ce4590f097fbb24ec2abba775a310cd53d4","external8","sct_data_all_qc_fit_selected384","common475","gene_topology_v1",20260805,"H0",8,28,"r_exact_breakpoint",500,1e-08,1e-08,200,474,474,"closed",FALSE
"mv08x_oracle_selection_public_v1",23,"mv08x_oracle_23_f4c6326b05a3","f4c6326b05a389a997224e06051bc2d47af57ba721287cd397db35235080abf0","external8","sct_pearson_residual_all_qc_fit_selected384","common475","gene_topology_v1",20260805,"H0",8,28,"r_exact_breakpoint",500,1e-08,1e-08,200,474,474,"closed",FALSE
"mv08x_oracle_selection_public_v1",24,"mv08x_oracle_24_a2e3ad6dc787","a2e3ad6dc7878463ef63305fbcb24f2a0d920a31adbadaf4b4d7aa132f7a1060","external8","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260805,"H0",8,28,"r_exact_breakpoint",500,1e-08,1e-08,200,499,499,"closed",FALSE
"mv08x_oracle_selection_public_v1",25,"mv08x_oracle_25_3f17530f4c3b","3f17530f4c3bc3596c54f065a824e4fe7bd384082ebc2d81cc55d00f220d2021","external8","sct_data_selected384_fit_same_axis","common475","cell_topology_v1",20260805,"H1",8,28,"r_exact_breakpoint",500,1e-08,1e-08,200,274,368,"closed",FALSE
"mv08x_oracle_selection_public_v1",26,"mv08x_oracle_26_8bb21f36abb0","8bb21f36abb0b2142f25615f0b3c03ef6243c4dca8a9ee2faef62e9c8e096013","external8","sct_data_all_qc_fit_selected384","common475","gene_topology_v1",20260805,"H1",8,28,"r_adaptive_certified",500,1e-08,1e-08,200,404,1101,"closed",FALSE
"mv08x_oracle_selection_public_v1",27,"mv08x_oracle_27_8ccbbeb120ac","8ccbbeb120ac47c5ba7e482a6b1d32aca320e8cf5bac4f1ecac87535ab61d136","external8","sct_pearson_residual_all_qc_fit_selected384","common475","gene_topology_v1",20260805,"H1",8,28,"r_adaptive_certified",500,1e-08,1e-08,200,477,865,"closed",FALSE
"mv08x_oracle_selection_public_v1",28,"mv08x_oracle_28_ec1aaf22abc8","ec1aaf22abc897dec5024678d8d2d5d2b0e3e5b76ba10829c75442f62c5e4cbd","external8","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260805,"H1",8,28,"r_adaptive_certified",500,1e-08,1e-08,200,558,970,"closed",FALSE
