"evaluation_unit_id","execution_order","endpoint_id","population_id","label_axis","stack_id","homology_dimension","method_id","method_role","selected_k","metric_id","seed_mean","seed_median","seed_minimum","seed_maximum","seed_jackknife_se","completed_seeds","expected_seeds","status","representation_label","method_label","metric_label","endpoint_label","inference_performed","ranking_performed","biological_claim"
"mv10p_outcome_v1:d38f4db0b1db8d0f10e328029b6311e271e6936b017934bfd29d8eed13417e19",11,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","pam_dissimilarity_v1","primary",3,"adjusted_rand_index",0.119379457565692,0.123006307572782,0.108273563292249,0.125884522893014,0.00315498497714402,5,5,"completed","All-QC SCT data","PAM (primary)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:63be0367d10959a3fdd452c8a6cdcb00822fe77c132c2dccdef1a9931dcc4feb",12,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","pam_dissimilarity_v1","primary",3,"normalized_mutual_information_max",0.216084023337859,0.219569441874879,0.207480986118512,0.221058292101582,0.00276528217953349,5,5,"completed","All-QC SCT data","PAM (primary)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:7ab37a37b085a587a17713176e54f6cf43fbb5bddf5284dc240b8081a53973a1",13,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","hclust_average_v1","sensitivity",3,"adjusted_rand_index",0.0606939347404916,0.0578781154428306,0.0541649730697292,0.0779146079775996,0.00440372697719344,5,5,"completed","All-QC SCT data","Average linkage","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:b40e2877922db69e1fb582af8cf567b7ff6f4efaf91fa49a42081e184dde4dd8",14,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","hclust_average_v1","sensitivity",3,"normalized_mutual_information_max",0.14933841527766,0.149591702316235,0.140561968742077,0.160938642018541,0.00341397843407401,5,5,"completed","All-QC SCT data","Average linkage","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:05d633df7286164b9b3f17795236971a02ea112a8c776e8473a259d28db1c33e",15,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","hclust_complete_v1","sensitivity",3,"adjusted_rand_index",0.0724173665492163,0.068790432616022,0.0523547227289633,0.0913786671610707,0.00657587052093919,5,5,"completed","All-QC SCT data","Complete linkage","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:174f3e2d98ca200eb43342e7cefadc7a06f0b94f88ae78f6a3169bee106bfe13",16,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","hclust_complete_v1","sensitivity",3,"normalized_mutual_information_max",0.158309559569673,0.154245540972291,0.147578408315455,0.177216825437723,0.00541174302501413,5,5,"completed","All-QC SCT data","Complete linkage","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:52f1406483be4ad35a39910c065ffec3ec67a7471333f7d43b6ce8890e78b72f",17,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","diana_dissimilarity_v1","sensitivity",3,"adjusted_rand_index",0.0794253152137414,0.0811455769535124,0.0698542454528345,0.0886468224505369,0.00313605084464348,5,5,"completed","All-QC SCT data","DIANA","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:a7797d55bbac1f99d5252c9dfad8ac10cea154f7517f3349eabb91bfa497f308",18,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","diana_dissimilarity_v1","sensitivity",3,"normalized_mutual_information_max",0.162267847568736,0.165580053039474,0.153589049549123,0.170549436864447,0.00328034002165848,5,5,"completed","All-QC SCT data","DIANA","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:53fc29b90a7b102122b3b2d4d291c74787fc10ccc91281a9d93574474c71c1ee",19,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","hclust_single_diagnostic_v1","diagnostic",3,"adjusted_rand_index",0.00577069342831124,0.00724144684039954,0.00212578279835329,0.00724144684039954,0.00100904771235527,5,5,"completed","All-QC SCT data","Single linkage (diagnostic)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:e973609c994c1426edacb745b93d2550a227b2e8c8f9da0ed5288093cf00dc02",20,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","hclust_single_diagnostic_v1","diagnostic",3,"normalized_mutual_information_max",0.0214963927827507,0.0229134465486285,0.0192662504790659,0.0229134465486285,0.000868394397573767,5,5,"completed","All-QC SCT data","Single linkage (diagnostic)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:268c101057f2d0df24c3f0a0f703a6abf1541d441b9523fc86b63ab13431ac2b",21,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","pam_dissimilarity_v1","primary",2,"adjusted_rand_index",0.035908361284491,0.0337650983434996,0.0291230205061584,0.0446879931101588,0.0026792755047898,5,5,"completed","All-QC Pearson residual (primary)","PAM (primary)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:6ce56073bdca5d2c1740790c87b456318612c43dbd88a03d9f05db65e610ab22",22,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","pam_dissimilarity_v1","primary",2,"normalized_mutual_information_max",0.0914774289889864,0.0901635450807586,0.0855355500909036,0.0972212651312447,0.00210955968900752,5,5,"completed","All-QC Pearson residual (primary)","PAM (primary)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:ba077d7529e81a29e97fd5d932d976728949568c8e8965db3b50efc6fdb10fed",23,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.0387489092083584,0.0398016823155007,0.0337222475419434,0.0457144452218839,0.00228366986484209,5,5,"completed","All-QC Pearson residual (primary)","Average linkage","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:fec252add577cd04d0a0c4eaba0e8d4cc191f047202cce0fd05871979a50b926",24,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.101688082667733,0.103909360548289,0.0953819703272994,0.109262218878589,0.00273651367948756,5,5,"completed","All-QC Pearson residual (primary)","Average linkage","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:41bec84ceb827883183c4e250b02845a0e7744c729c9a1dde7d01b442e525930",25,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","hclust_complete_v1","sensitivity",2,"adjusted_rand_index",0.0576274494844278,0.0457144452218839,0.0337222475419434,0.100989423404981,0.0121733910812906,5,5,"completed","All-QC Pearson residual (primary)","Complete linkage","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:1ca096f269b6ea15bbc0319a5c6adc3383b62180ac1c969dad21cd004f5ca0ba",26,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","hclust_complete_v1","sensitivity",2,"normalized_mutual_information_max",0.11271133751803,0.109262218878589,0.0953819703272994,0.13291041795815,0.00665466517115275,5,5,"completed","All-QC Pearson residual (primary)","Complete linkage","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:777d7ecbf048dced4e71257ee91537dcbc4714d294e03cc09cb6423b0dcd76e9",27,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"adjusted_rand_index",0.03870196450748,0.038302477548273,0.0291230205061584,0.0493485992603104,0.00320597329839671,5,5,"completed","All-QC Pearson residual (primary)","DIANA","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:cf6f21d6dc0632df4046cb6adea7086fcb6b6809050f01e1395e620c2579b4d0",28,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"normalized_mutual_information_max",0.0995287627704833,0.100919459536114,0.0940510868372439,0.103940780357736,0.00174154471987084,5,5,"completed","All-QC Pearson residual (primary)","DIANA","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:4d4a66ddbffdee9159989362c570647e317f7304ad74ffcad6cd12541f9667eb",29,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"adjusted_rand_index",-0.00177162655023204,-0.00239690997084011,-0.00431876185097052,0.00265135901233063,0.00116669699569271,5,5,"completed","All-QC Pearson residual (primary)","Single linkage (diagnostic)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:44594176843f03796d9ec05d5d1ddc8a8ba32a8b7fd97ddd2b844e34e741e2ca",30,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"normalized_mutual_information_max",0.00829196130950766,0.00628194732662914,0.00628194732662914,0.0126848211714592,0.00130571918086941,5,5,"completed","All-QC Pearson residual (primary)","Single linkage (diagnostic)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:be5407ca0c148493a4ec0c5e68e58c467cb3e94610b71fad720772def265923d",31,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","pam_dissimilarity_v1","primary",3,"adjusted_rand_index",0.122137408492959,0.121882125874561,0.114308098902148,0.133301945840539,0.00336969135648906,5,5,"completed","All-QC Pearson residual (primary)","PAM (primary)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:fc4f10000944a8e9baf8b88b8e26a6399a17067a0f08e7c2fa4083b6e8d9c395",32,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","pam_dissimilarity_v1","primary",3,"normalized_mutual_information_max",0.207370470123486,0.202558270248449,0.195504177696407,0.224042523187274,0.00529010767498968,5,5,"completed","All-QC Pearson residual (primary)","PAM (primary)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:cad6a2fc326a44f976b5c338afd33a72edc01a10f2a204c5b8a0af563dfa4cfd",33,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","hclust_average_v1","sensitivity",3,"adjusted_rand_index",0.0898988719369717,0.0850346521085778,0.0673156297990116,0.113661133065335,0.0084071366235003,5,5,"completed","All-QC Pearson residual (primary)","Average linkage","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:8a9fe8999c64dbc7c994c9b656c5d26884bdfd493810d87e908be92ec9f51ef2",34,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","hclust_average_v1","sensitivity",3,"normalized_mutual_information_max",0.155148724227679,0.153739258729671,0.126162569009994,0.202249659794619,0.01349654389107,5,5,"completed","All-QC Pearson residual (primary)","Average linkage","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:eb8bb9d8a551e5bfb144fcae80776ddecfd50d825f0dc26560fcba8a3fe6d8e0",35,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","hclust_complete_v1","sensitivity",3,"adjusted_rand_index",0.0986902949333168,0.09633283356149,0.067480218660567,0.138781842541925,0.0115025920780561,5,5,"completed","All-QC Pearson residual (primary)","Complete linkage","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:3880a0b419e5b2dbc51f24839eda1a043ad9e96dfa786bad2d91045936dc779d",36,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","hclust_complete_v1","sensitivity",3,"normalized_mutual_information_max",0.180360703104726,0.190848604578785,0.131363635467267,0.217537386361414,0.0143134986850853,5,5,"completed","All-QC Pearson residual (primary)","Complete linkage","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:ad79c68796eb32cec30c097601bcf44df512328424b6369679c18cfc528323b8",37,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","diana_dissimilarity_v1","sensitivity",3,"adjusted_rand_index",0.106770322099755,0.104175812472095,0.0941273267345004,0.123196416427934,0.00477151150243647,5,5,"completed","All-QC Pearson residual (primary)","DIANA","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:211fd5f7580aac75d349db7732e634df17cc36e9a5f5c631f9f21c12756e9b1d",38,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","diana_dissimilarity_v1","sensitivity",3,"normalized_mutual_information_max",0.199367081614608,0.194970513329935,0.186515970772624,0.222498884960577,0.00621373460602559,5,5,"completed","All-QC Pearson residual (primary)","DIANA","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:81a3005a080065788cafa8d6deae3ce9f83cbef7b884988dd9834fb43cb9e68a",39,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","hclust_single_diagnostic_v1","diagnostic",3,"adjusted_rand_index",0.000126148796188739,0.000207408782585943,-0.00629218426570305,0.00630070189888892,0.00250341667199297,5,5,"completed","All-QC Pearson residual (primary)","Single linkage (diagnostic)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:eb55a97c4c1a4d949a3dd494e31caf069563784417a5ec6f41753be3c3d45725",40,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","hclust_single_diagnostic_v1","diagnostic",3,"normalized_mutual_information_max",0.0206895287961531,0.0192143044716829,0.012684821171459,0.0358960549240684,0.00399578745368654,5,5,"completed","All-QC Pearson residual (primary)","Single linkage (diagnostic)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:4ad27e3a7dc99f244157edd25a2b6293c64ae7a620e30bf96ed2a86710e372da",41,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","pam_dissimilarity_v1","primary",2,"adjusted_rand_index",0.0475559790339262,0.0491936318741316,0.0436526718205935,0.0497991043287124,0.00127198318278681,5,5,"completed","Historical selected-fit data","PAM (primary)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:4056dce7bf6f667e91ecb4d7839c810e23de91a9ceff0c825557ab566399bc7c",42,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","pam_dissimilarity_v1","primary",2,"normalized_mutual_information_max",0.109579454928881,0.110054094864928,0.105089088743533,0.112264299924117,0.0011950530914943,5,5,"completed","Historical selected-fit data","PAM (primary)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:7bf6a3e627ecb4e362942935512c987f216c1dd1e2ac13880881bcfd059b1b45",43,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.0457144452218839,0.0457144452218839,0.0457144452218839,0.0457144452218839,0,5,5,"completed","Historical selected-fit data","Average linkage","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:398f40bf9fa8e793f01db5ff2de256fbdc5b23252bd94ef0db12205b27881d59",44,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.109262218878589,0.109262218878589,0.109262218878589,0.109262218878589,0,5,5,"completed","Historical selected-fit data","Average linkage","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:c7cd38f96bc2d5a7da460fe0712862359ae455169c69be6085d8757504db6e43",45,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","hclust_complete_v1","sensitivity",2,"adjusted_rand_index",0.0444926196531506,0.0457144452218839,0.0396053173782176,0.0457144452218839,0.00122182556873326,5,5,"completed","Historical selected-fit data","Complete linkage","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:af2fed9259224138e84f734de8de5309ed84a2fb271b3dcc82a9d7999cdaf3bd",46,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","hclust_complete_v1","sensitivity",2,"normalized_mutual_information_max",0.106812951954692,0.109262218878589,0.0970158842591047,0.109262218878589,0.00244926692389686,5,5,"completed","Historical selected-fit data","Complete linkage","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:ebff6c005ddf76ef781a8744be268930beb20b7e11d6fed5cbc7707c401a2605",47,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"adjusted_rand_index",0.0478788326729611,0.0457144452218839,0.0436526718205935,0.055435185104118,0.00209195555004136,5,5,"completed","Historical selected-fit data","DIANA","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:360693d9982113d1d9c462dd3ddeaedf20bad3dde7ee9d730fcfbe366f2e1984",48,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"normalized_mutual_information_max",0.110088879041323,0.110054094864928,0.105089088743533,0.115593658672164,0.00167499461105006,5,5,"completed","Historical selected-fit data","DIANA","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:e041e2745453751e50e9e76ebfb3ec9c57361a4c7ed13a4ca1476d852fad151f",49,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"adjusted_rand_index",-0.00648605103342684,-0.00702787332904092,-0.00702787332904092,-0.00431876185097052,0.00054182229561408,5,5,"completed","Historical selected-fit data","Single linkage (diagnostic)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:6b20e03aac0e2dc8326327b4ec768b1834bcb34bb9c695b27489cb2e615252ce",50,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"normalized_mutual_information_max",0.0286795676424627,0.0326782542602136,0.0126848211714592,0.0326782542602136,0.00399868661775088,5,5,"completed","Historical selected-fit data","Single linkage (diagnostic)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:d55ee69c2fb3c529ac5da6811c722ccb65ce9c31ffb049f4e0c365e9d8426d65",51,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H1","pam_dissimilarity_v1","primary",3,"adjusted_rand_index",0.111747706502212,0.111584056723524,0.0857540599029383,0.131429851781036,0.00752771498671719,5,5,"completed","Historical selected-fit data","PAM (primary)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:ea46a7b5bedcf08439b34a0a1ff69c170b8be65eda6438551d5cb364b01be581",52,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H1","pam_dissimilarity_v1","primary",3,"normalized_mutual_information_max",0.206849702486827,0.207805773897519,0.187876856695038,0.223336474995704,0.00575696747418095,5,5,"completed","Historical selected-fit data","PAM (primary)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:c17451a9fbfe48885523d7b95a2fe843f2dd39c7fed8f838e22316db4981de40",53,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H1","hclust_average_v1","sensitivity",3,"adjusted_rand_index",0.0729634874385531,0.0653897206246488,0.0545499037568463,0.0986864565057081,0.00820564474827946,5,5,"completed","Historical selected-fit data","Average linkage","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:a2aa0c3506046312b187dbf31f9fd7e8cb007bce4799eac0c388af764a00b192",54,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H1","hclust_average_v1","sensitivity",3,"normalized_mutual_information_max",0.152333544533591,0.151156123165945,0.130473537251906,0.182512518635947,0.00880347628739258,5,5,"completed","Historical selected-fit data","Average linkage","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:02a46966ed9b643deeed72f2da9951ab477f14b505f35ef1e59cd9c39fa53440",55,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H1","hclust_complete_v1","sensitivity",3,"adjusted_rand_index",0.0833264410436149,0.0710726462103331,0.0685178036547416,0.136925662377634,0.0134120133365269,5,5,"completed","Historical selected-fit data","Complete linkage","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:80b9972951de4472af896139f891873366cf7383dc43ec12f05a08f40cf310ef",56,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H1","hclust_complete_v1","sensitivity",3,"normalized_mutual_information_max",0.175216987216771,0.162891509284619,0.142411639271792,0.258185452336334,0.0211893680177929,5,5,"completed","Historical selected-fit data","Complete linkage","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:ea9a785cb24552af3064fe8210ef87821329406a3191f661e1c3edb5fa767200",57,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H1","diana_dissimilarity_v1","sensitivity",3,"adjusted_rand_index",0.0800929808569317,0.081436302760567,0.0698542454528345,0.0861894021534305,0.00271786524688077,5,5,"completed","Historical selected-fit data","DIANA","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:4d0fbc1479ae56629586df8b313cefd122f8d5d88bf586aabfcf39c27f3cd6ad",58,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H1","diana_dissimilarity_v1","sensitivity",3,"normalized_mutual_information_max",0.163156788750375,0.162928937379578,0.153589049549123,0.170887339933081,0.0028357917200755,5,5,"completed","Historical selected-fit data","DIANA","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
