"execution_head","sensitivity_order","comparison_order","contrast_id","seed","homology_dimension","left_stack","right_stack","left_payload_set_sha256","right_payload_set_sha256","pair_axis_sha256","contract_id","comparison_id","units","unordered_pairs","k","mean_neighbor_jaccard","median_neighbor_jaccard","p10_neighbor_jaccard","replication_units","interpretation","outcome_label_state","biological_outcomes_computed"
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",6,36,"fit_scope_effect",20260805,"H1","same_axis_selectedfit_data_common475","allqc_data_common475","623a1bc38ac8f6326643f1e60976fc300c580a6c516b867b1aaf560ae35e22f7","a3c35eef190b5abb2c77d621e229cc7170391e020eae85ea83524ed3fd29d92a","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:fit_scope_effect:20260805:H1",8,28,2,0.583333333333333,0.333333333333333,0.333333333333333,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",6,36,"fit_scope_effect",20260805,"H1","same_axis_selectedfit_data_common475","allqc_data_common475","623a1bc38ac8f6326643f1e60976fc300c580a6c516b867b1aaf560ae35e22f7","a3c35eef190b5abb2c77d621e229cc7170391e020eae85ea83524ed3fd29d92a","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:fit_scope_effect:20260805:H1",8,28,3,0.875,1,0.5,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",7,37,"layer_effect",20260805,"H1","allqc_data_common475","allqc_residual_common475","a3c35eef190b5abb2c77d621e229cc7170391e020eae85ea83524ed3fd29d92a","2f75388ba6395fbaaba91226612f3a75095faec3b03936b3e1b0e27ebf55585e","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:layer_effect:20260805:H1",8,28,2,0.416666666666667,0.333333333333333,0,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",7,37,"layer_effect",20260805,"H1","allqc_data_common475","allqc_residual_common475","a3c35eef190b5abb2c77d621e229cc7170391e020eae85ea83524ed3fd29d92a","2f75388ba6395fbaaba91226612f3a75095faec3b03936b3e1b0e27ebf55585e","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:layer_effect:20260805:H1",8,28,3,0.55,0.5,0.2,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",8,38,"common475_net_migration_effect",20260805,"H1","same_axis_selectedfit_data_common475","allqc_residual_common475","623a1bc38ac8f6326643f1e60976fc300c580a6c516b867b1aaf560ae35e22f7","2f75388ba6395fbaaba91226612f3a75095faec3b03936b3e1b0e27ebf55585e","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:common475_net_migration_effect:20260805:H1",8,28,2,0.625,0.666666666666667,0.233333333333333,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",8,38,"common475_net_migration_effect",20260805,"H1","same_axis_selectedfit_data_common475","allqc_residual_common475","623a1bc38ac8f6326643f1e60976fc300c580a6c516b867b1aaf560ae35e22f7","2f75388ba6395fbaaba91226612f3a75095faec3b03936b3e1b0e27ebf55585e","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:common475_net_migration_effect:20260805:H1",8,28,3,0.6125,0.5,0.2,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",9,39,"residual_panel_effect",20260805,"H1","allqc_residual_common475","allqc_residual_exact500","2f75388ba6395fbaaba91226612f3a75095faec3b03936b3e1b0e27ebf55585e","4127206a49aab5a5a7e204d6c6fed9ab9988719af2101302ee4234cbdcdd3260","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:residual_panel_effect:20260805:H1",8,28,2,0.833333333333333,1,0.333333333333333,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",9,39,"residual_panel_effect",20260805,"H1","allqc_residual_common475","allqc_residual_exact500","2f75388ba6395fbaaba91226612f3a75095faec3b03936b3e1b0e27ebf55585e","4127206a49aab5a5a7e204d6c6fed9ab9988719af2101302ee4234cbdcdd3260","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:residual_panel_effect:20260805:H1",8,28,3,0.9375,1,0.85,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",10,40,"exact500_total_migration_effect",20260805,"H1","same_axis_selectedfit_data_common475","allqc_residual_exact500","623a1bc38ac8f6326643f1e60976fc300c580a6c516b867b1aaf560ae35e22f7","4127206a49aab5a5a7e204d6c6fed9ab9988719af2101302ee4234cbdcdd3260","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:exact500_total_migration_effect:20260805:H1",8,28,2,0.625,0.666666666666667,0.233333333333333,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",10,40,"exact500_total_migration_effect",20260805,"H1","same_axis_selectedfit_data_common475","allqc_residual_exact500","623a1bc38ac8f6326643f1e60976fc300c580a6c516b867b1aaf560ae35e22f7","4127206a49aab5a5a7e204d6c6fed9ab9988719af2101302ee4234cbdcdd3260","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:exact500_total_migration_effect:20260805:H1",8,28,3,0.65,0.5,0.41,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
